type,id,latitude,longitude,name
way,54237422,-36.348926,146.3125365,Wangaratta Private Hospital
way,54238205,-36.5549959,145.9944956,Benalla and District Memorial Hospital
way,54329621,-36.75982,145.5694044,Euroa Health
way,55687003,-36.3105348,146.8457247,Yackandandah Bush Nursing Hospital
way,55687287,-36.3491879,146.6911349,Beechworth Health Service
way,55770420,-36.0548627,145.2047542,Nathalia District Hospital
way,55770489,-36.1000331,145.4435729,Numurkah District Health Service
way,56019615,-37.2135471,145.4308687,Yea and District Memorial Hospital
way,56191265,-37.1949719,145.7166014,Alexandra District Health
way,56191549,-36.5876225,145.0085271,Waranga Memorial Hospital (Goulburn Valley Health)
way,57903063,-37.763531,145.0310364,North Eastern Rehabilitation Centre
way,58187331,-37.7982724,144.9571117,Melbourne Private Hospital
way,58404174,-37.5532312,143.8450993,Nazareth House Aged Care
way,58974175,-37.2547667,144.4698525,Kyneton District Health Service
way,59525615,-37.9118012,144.9911812,Brighton Cabrini
way,62344619,-37.7989136,144.9550081,Royal Women's Hospital
way,62356732,-38.0449153,145.3477591,Casey Hospital
way,64613757,-36.5879123,145.0084967,Warranga Hospital
way,67145045,-37.8114049,145.2437941,Ringwood Private Hospital
way,74688930,-38.1516245,144.3578584,St John of God Hospital
way,89532698,-38.1823884,144.39339,Geelong Clinic
way,92031905,-37.2786493,142.9328222,East Grampians Health Service
way,94670969,-37.7895278,145.023268,Royal Talbot Rehabilitation Centre
way,96668840,-36.7127994,142.2088921,Wimmera Base Hospital
way,97923439,-37.9207641,145.0638995,Monash Medical Centre Moorabbin
way,99998610,-37.7546344,145.0609121,Warringal Private Hospital
way,103943339,-37.0575825,146.0861213,Mansfield District Hospital
way,107640692,-36.2133741,147.1835489,Tallangatta Health Service
way,112554668,-37.756879,145.0593209,Olivia Newton-John Cancer and Wellness Centre
way,116778899,-37.0593531,142.7814653,Stawell District Hospital
way,120493258,-37.8669157,145.0607088,Malvern Private Hospital
way,120623418,-38.1089016,147.0809089,Gippsland Base Hospital
way,126552820,-37.5635116,143.8426697,Queen Elizabeth Centre
way,127478931,-37.85557,145.2688589,The Melbourne Eastern Private Hospital
way,131476925,-38.2186793,146.4721033,Latrobe Regional Hospital
way,132510713,-38.4876263,145.9504979,Leongatha Memorial Hospital
way,135642318,-38.157646,145.1689877,Peninsula Private Hospital
way,140637129,-38.2393505,142.9020499,Terang & Mortlake Health Services
