name,coordinates,price,bed,bath,park_num,postcode,Latitude,Longitude
1120/555 Flinders Street Melbourne VIC 3000,"[-37.8209711, 144.9564827]",450.0,1.0,1.0,0,3000,-37.8209711,144.9564827
4008/27 Therry Street Melbourne VIC 3000,"[-37.8069882, 144.9610136]",1100.0,3.0,2.0,1,3000,-37.8069882,144.9610136
830/118 Franklin Street Melbourne VIC 3000,"[-37.8082052, 144.9589035]",600.0,2.0,1.0,1,3000,-37.8082052,144.9589035
611/408 Lonsdale Street Melbourne VIC 3000,"[-37.8125979, 144.9604012]",430.0,1.0,1.0,0,3000,-37.8125979,144.9604012
7008/228 La Trobe St Melbourne VIC 3000,"[-37.8096052, 144.962371]",850.0,2.0,1.0,0,3000,-37.8096052,144.962371
5813/228 La Trobe St Melbourne VIC 3000,"[-37.8096052, 144.962371]",750.0,2.0,1.0,0,3000,-37.8096052,144.962371
303/368 Little Collins Street Melbourne VIC 3000,"[-37.815461, 144.9623199]",430.0,1.0,1.0,0,3000,-37.815461,144.9623199
2105s/220 Spencer Street Melbourne VIC 3000,"[-37.815781, 144.9529156]",430.0,0.0,1.0,0,3000,-37.815781,144.9529156
3113/639 Lonsdale Street Melbourne VIC 3000,"[-37.81525920000001, 144.9534241]",1100.0,3.0,2.0,1,3000,-37.81525920000001,144.9534241
1908/81 A'Beckett Street Melbourne VIC 3000,"[-37.80932200000001, 144.961332]",630.0,2.0,1.0,0,3000,-37.80932200000001,144.961332
Unit 1402/560 Lonsdale St Melbourne VIC 3000,"[-37.8139559, 144.9556588]",670.0,2.0,1.0,0,3000,-37.8139559,144.9556588
2501/82 Flinders Street Melbourne VIC 3000,"[-37.815919, 144.971946]",1450.0,3.0,2.0,2,3000,-37.815919,144.971946
1805/80 ABeckett Street Melbourne VIC 3000,"[-37.8089991, 144.9610792]",550.0,1.0,1.0,0,3000,-37.8089991,144.9610792
1801/243 Franklin Street Melbourne VIC 3000,"[-37.809763, 144.9569891]",625.0,2.0,1.0,0,3000,-37.809763,144.9569891
6305C/633 Little Lonsdale Street Melbourne VIC 3000,"[-37.81417740000001, 144.9525524]",875.0,2.0,2.0,1,3000,-37.81417740000001,144.9525524
6307C/633 Little Lonsdale Street Melbourne VIC 3000,"[-37.81417740000001, 144.9525524]",825.0,2.0,2.0,1,3000,-37.81417740000001,144.9525524
504/408 Lonsdale Street Melbourne VIC 3000,"[-37.8125979, 144.9604012]",380.0,1.0,1.0,0,3000,-37.8125979,144.9604012
522/199 William Street Melbourne VIC 3000,"[-37.8145716, 144.9573479]",650.0,2.0,2.0,0,3000,-37.8145716,144.9573479
75/350 St Kilda Road Melbourne VIC 3000,"[-37.8310667, 144.9709519]",1195.0,2.0,2.0,2,3000,-37.8310667,144.9709519
410/17 Singers Lane Melbourne VIC 3000,"[-37.8110876, 144.9566218]",350.0,1.0,1.0,0,3000,-37.8110876,144.9566218
46/283 Spring Street Melbourne VIC 3000,"[-37.8081467, 144.9712126]",800.0,2.0,2.0,1,3000,-37.8081467,144.9712126
30/180 Little Collins Street Melbourne VIC 3000,"[-37.8138453, 144.9679157]",980.0,2.0,2.0,2,3000,-37.8138453,144.9679157
2901/200 Spencer Street Melbourne VIC 3000,"[-37.816228, 144.9532465]",640.0,2.0,1.0,1,3000,-37.816228,144.9532465
708/500 Flinders Street Melbourne VIC 3000,"[-37.8200061, 144.9578332]",315.0,1.0,1.0,0,3000,-37.8200061,144.9578332
2402/280 Spencer Street Melbourne VIC 3000,"[-37.8139297, 144.952069]",575.0,2.0,1.0,1,3000,-37.8139297,144.952069
2505/371 Little Lonsdale Street Melbourne VIC 3000,"[-37.8116241, 144.9609753]",570.0,1.0,1.0,0,3000,-37.8116241,144.9609753
3803/200 Spencer Street Melbourne VIC 3000,"[-37.816228, 144.9532465]",540.0,1.0,1.0,1,3000,-37.816228,144.9532465
L03/68 La Trobe Street Melbourne VIC 3000,"[-37.8083648, 144.9667899]",390.0,1.0,1.0,0,3000,-37.8083648,144.9667899
5/300 King Street Melbourne VIC 3000,"[-37.8131981, 144.9544542]",1200.0,3.0,2.0,1,3000,-37.8131981,144.9544542
802/95 Berkeley Street Melbourne VIC 3000,"[-37.8033781, 144.9587815]",870.0,3.0,2.0,2,3000,-37.8033781,144.9587815
408 Lonsdale Street Melbourne VIC 3000,"[-37.8125979, 144.9604012]",380.0,1.0,1.0,0,3000,-37.8125979,144.9604012
1706/87 Franklin Street Melbourne VIC 3000,"[-37.8079459, 144.9617001]",500.0,1.0,1.0,0,3000,-37.8079459,144.9617001
302/9 Eades Street East Melbourne VIC 3002,"[-37.8095672, 144.9807606]",510.0,1.0,1.0,1,3002,-37.8095672,144.9807606
7/18-30 Grey Street East Melbourne VIC 3002,"[-37.8119913, 144.9900559]",550.0,1.0,1.0,1,3002,-37.8119913,144.9900559
74/190 Albert Street East Melbourne VIC 3002,"[-37.8095495, 144.98486]",600.0,2.0,2.0,1,3002,-37.8095495,144.98486
2/77 Gipps St East Melbourne VIC 3002,"[-37.8134132, 144.9879151]",465.0,2.0,1.0,1,3002,-37.8134132,144.9879151
3/9 Garden Avenue East Melbourne VIC 3002,"[-37.8161245, 144.9885511]",550.0,2.0,1.0,1,3002,-37.8161245,144.9885511
13/23 Hotham St East Melbourne VIC 3002,"[-37.814805, 144.9898664]",485.0,1.0,1.0,1,3002,-37.814805,144.9898664
10/98 Vale St East Melbourne VIC 3002,"[-37.8181728, 144.9879162]",700.0,1.0,1.0,0,3002,-37.8181728,144.9879162
