FID,OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTES_USING_STOP,SHAPE,SE_ANNO_CAD_DATA
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74b7,132,19956,Balaclava Railway Station (Balaclava),-37.8695,144.9935,1,Sandringham,POINT (-37.86948801 144.99351216),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74b8,133,19957,Windsor Railway Station (Windsor),-37.8561,144.992,1,Sandringham,POINT (-37.85605299 144.99203508),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74b9,134,19958,Prahran Railway Station (Prahran),-37.8495,144.9899,1,Sandringham,POINT (-37.849518 144.98985996),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74ba,135,19959,South Yarra Railway Station (South Yarra),-37.8384,144.9923,1,"Frankston,Pakenham,Sandringham,Cranbourne",POINT (-37.83844899 144.99234216),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74bb,136,19960,Upfield Railway Station (Coolaroo),-37.6661,144.9467,2,Upfield,POINT (-37.66607802 144.94673988),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74bc,137,19961,Gowrie Railway Station (Glenroy),-37.7007,144.9589,2,Upfield,POINT (-37.70067798 144.95887404),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74bd,138,19962,Fawkner Railway Station (Fawkner),-37.7146,144.9605,"1,2",Upfield,POINT (-37.71462096 144.96054516),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74be,139,19963,Merlynston Railway Station (Coburg North),-37.7209,144.9613,"1,2",Upfield,POINT (-37.72093401 144.96131412),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74bf,140,19964,Batman Railway Station (Coburg North),-37.7335,144.9628,"1,2",Upfield,POINT (-37.73352303 144.96284088),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74c0,141,19965,Coburg Railway Station (Coburg),-37.7423,144.9633,1,Upfield,POINT (-37.74234501 144.96333588),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74c1,142,19966,Moreland Railway Station (Coburg),-37.7545,144.9618,1,Upfield,POINT (-37.75448502 144.96182316),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74c2,143,19967,Anstey Railway Station (Brunswick),-37.7612,144.9607,1,Upfield,POINT (-37.76124204 144.96068412),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74c3,144,19968,Brunswick Railway Station (Brunswick),-37.7677,144.9596,1,Upfield,POINT (-37.76772096 144.95958684),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74c4,145,19969,Jewell Railway Station (Brunswick),-37.775,144.9587,1,Upfield,POINT (-37.77498702 144.95871708),
