type,id,latitude,longitude
way,5440345,-37.860808,145.2913886
way,5455440,-37.7983728,144.9506016
way,5455443,-37.7975691,144.9505957
way,5455674,-37.7975082,144.9503826
way,5593729,-37.762121,144.9359657
way,5595287,-37.7585239,144.9301936
way,5595752,-37.7557958,144.9315022
way,5800919,-37.7625243,144.9238896
way,5829534,-37.7550492,144.9398169
way,5829536,-37.7540062,144.937634
way,6054509,-37.8549005,145.2306251
way,6054589,-37.8533969,145.2332374
way,6249272,-37.7881402,145.5709966
way,8013685,-37.7481864,144.9102573
way,8103809,-37.7443102,144.8965968
way,8655963,-37.8146771,145.1221579
way,8656012,-37.8818007,145.1539299
way,8930337,-37.8899679,145.128625
way,8932405,-37.8870551,145.1164063
way,8965117,-37.8938502,145.1109149
way,8966195,-37.8937006,145.1022704
way,8968614,-37.8947108,145.0989113
way,8969138,-37.8968765,145.0999762
way,8979148,-37.8602701,145.2258507
way,9288225,-37.7414009,144.9189985
way,9337872,-37.8095641,145.1178211
way,9470186,-37.7522637,144.8934909
way,9702000,-37.7695933,144.9302991
way,9859084,-37.7553062,144.9358401
way,9859086,-37.7564285,144.934614
way,9899267,-37.7454525,144.931147
way,9899425,-37.7489203,144.9330896
way,9923487,-37.7500857,144.9585186
way,9923662,-37.7524067,144.9545155
way,9923775,-37.7542989,144.9615803
way,10255129,-37.7675069,144.9407585
way,10255368,-37.7685699,144.9386166
way,10585428,-37.9045931,145.1250434
way,10629894,-37.7743513,144.9532854
way,10670972,-37.8884681,145.1390473
way,10670981,-37.8905428,145.1321878
way,10670990,-37.8910376,145.1371505
way,10844610,-37.8752147,145.2864181
way,10848330,-37.7693891,144.9646269
way,10853464,-37.7451086,144.9370196
way,10861407,-37.7392935,144.9347399
way,10897260,-37.8692208,145.1291255
way,10897861,-37.860822,145.1232494
way,10898099,-37.8638495,145.1277087
way,10898144,-37.8683813,145.1229659
way,10937073,-37.7694539,144.9759762
way,10941760,-37.1898694,144.3808585
way,11182590,-37.7745227,144.9774403
way,11188039,-37.7893923,144.9731621
way,11317644,-37.8126534,145.23842
way,11338900,-37.8152146,145.2367205
way,11740381,-37.766985,145.1749189
way,11740533,-37.7700246,145.1797211
way,11741593,-37.7754365,145.1709059
way,11744131,-37.7652044,145.1705965
way,11786625,-37.7915409,145.2293965
way,12091447,-37.7668577,145.1622944
way,12091657,-37.7643707,145.1630985
way,12092667,-37.7707403,145.1613923
way,12096607,-37.7752756,145.1379692
way,12247208,-37.8809378,145.227343
way,12273713,-37.8413288,144.9814566
way,12543371,-37.8028092,144.9554538
way,12899241,-37.9199067,145.1310105
way,12906827,-37.7688901,144.9694969
way,12908086,-37.7701785,145.148747
way,13123716,-37.909211,145.1165053
way,13127129,-37.904428,145.1092008
way,13145019,-37.7599606,144.9781668
way,13294700,-37.8985918,145.1127538
way,13739264,-37.8991154,145.1176416
way,13815924,-37.7876746,144.9828576
way,14014854,-37.936466,145.196132
way,14415724,-37.795658,144.9534747
way,14600586,-37.7782074,145.1614077
way,14600934,-37.7787055,145.1472794
way,14963677,-37.8693262,145.1600201
way,15144379,-37.8410975,145.2228032
way,15145986,-37.8418348,145.2282541
way,15241872,-37.899806,145.1195072
way,15361725,-37.9023571,145.1168359
way,15362189,-37.9014245,145.1145552
way,15477554,-37.8676234,144.9777628
way,15478787,-37.8662353,144.9809515
way,15478945,-37.8716601,144.9785973
way,15478950,-37.8700568,144.9785317
way,15479037,-37.8708433,144.9839728
way,15609701,-37.8166725,145.2792015
way,15865305,-37.8471227,144.9718935
way,16711763,-38.3728323,144.84377
way,16993581,-37.918222,145.1369663
way,16993629,-37.9179303,145.1349567
way,17113801,-38.2697065,144.6633753
way,17133324,-37.8845502,145.1277587
way,17592793,-37.7749053,144.9585159
way,18043576,-37.8615745,144.9709762
way,18470925,-37.9356364,145.1946715
way,18523406,-37.8534625,144.9872412
way,18594356,-37.8709783,145.1560238
way,18595099,-37.8652978,145.1637725
way,18596393,-37.8661245,145.1532594
way,18952749,-37.8641262,145.1673934
way,18954653,-37.8621702,145.1667238
way,18955149,-37.747205,144.9596156
way,18956174,-37.7438705,144.9628807
way,19201843,-37.8626742,145.1682063
way,19500709,-37.860771,145.2188935
way,19777907,-37.7473643,144.865446
way,19923571,-37.8889621,145.1208811
way,19936003,-37.8726066,145.1353226
way,20080108,-37.7542914,144.8545765
way,20080166,-37.7534367,144.8573892
way,20084823,-37.7487195,144.8548776
way,20087622,-37.7415321,144.8542266
way,20087666,-37.747033,144.8547052
way,20087727,-37.7468791,144.8559363
way,20087869,-37.7478773,144.8584366
way,20087906,-37.7461763,144.856944
way,20088104,-37.7435479,144.8574799
way,20253171,-37.7481799,144.8731542
way,20265456,-37.7361726,144.862436
way,20265559,-37.738455,144.8595548
way,20266477,-37.7328015,144.8607397
way,20283467,-37.7838122,145.155432
way,21133506,-37.8034842,144.994455
way,21419505,-37.7910439,144.9925811
way,21420462,-37.788824,144.9937833
way,21522362,-37.2848901,142.9264924
way,21638879,-37.8623381,145.1454504
way,21930242,-37.8636622,145.1137153
way,22562115,-37.8128296,144.989102
way,22562116,-37.8114308,144.9873647
way,22664465,-37.895375,145.1490342
way,22664506,-37.8980346,145.1528377
way,22664507,-37.8993133,145.1524799
way,22664513,-37.8976198,145.1532991
way,22693853,-37.871037,145.1702259
way,22716785,-37.7853775,144.9664001
way,22724348,-37.8717338,145.1807269
way,22736223,-37.8455917,145.143408
way,22740078,-37.8930725,145.2356731
way,22740084,-37.8896902,145.2351682
way,22749023,-37.8896594,145.2437574
way,22769294,-37.7880366,144.9699634
way,22780369,-37.7659374,144.9839654
way,22781496,-37.9176406,145.169695
way,22788988,-37.8609316,144.8134869
way,22803395,-37.7535704,144.970417
way,22818856,-37.8010802,144.9603764
way,22881658,-37.7987066,144.9601986
way,22898660,-37.9311703,145.2003484
way,22902372,-37.8809372,145.1745423
way,22929134,-37.9306836,145.1976626
way,22929149,-37.9265799,145.2004016
way,22929177,-37.9248317,145.199538
way,22929203,-37.9254485,145.1992499
way,22929213,-37.9343257,145.2032373
way,22954425,-37.8524619,145.2076067
way,22970861,-37.8792296,145.1806467
way,22971229,-37.8828734,145.2176084
way,22979222,-37.7969476,144.9619255
way,22979390,-37.8840731,145.1049354
way,22980936,-36.216287,147.1774972
way,22998189,-37.8681436,145.1485655
way,23000753,-37.7761818,145.0094461
way,23014236,-37.8690877,145.1096889
way,23014237,-37.871718,145.1100111
way,23014265,-37.8516804,145.0008808
way,23023673,-37.8284255,145.0013812
way,23024170,-37.8259196,144.9868085
way,23090688,-37.8359295,145.1017231
way,23142087,-37.7795087,144.9372439
way,23143919,-37.8038105,144.9021877
way,23144061,-37.8280291,144.8956961
way,23144087,-37.8320895,144.8880582
way,23144141,-37.8397772,144.8904871
way,23144562,-37.8470588,144.8882751
way,23146043,-37.8513383,144.8980763
way,23146245,-37.8439515,144.8943008
way,23146301,-37.8325396,144.8954935
way,23146584,-37.7993491,144.9055765
way,23169562,-37.7431169,144.8912436
way,23169916,-37.8575431,145.1738045
way,23201021,-37.7434923,144.90602
way,23227919,-37.8768062,145.0995903
way,23272937,-37.8102863,144.9682595
way,23274556,-37.8807756,145.1031881
