postcode,SA2
3708,204031072
3709,204031072
3711,204011054
3712,204011054
3713,204011054
3714,204011054
3715,204011057
3717,204011062
3718,204011062
3719,204011054
3720,204011057
3722,204011057
3723,204021067
3724,204011057
3725,204021064
3726,204021064
3727,216021412
3728,216021412
3730,216021412
3732,204021067
3733,204021067
3735,204021067
3736,204031071
3737,204031069
3738,204031071
3739,204031071
3740,204031069
3741,204031069
3744,204031069
3746,204021067
3747,204031068
3749,204031075
3750,209041437
3751,209041225
3752,209041436
3753,209041224
3754,209031212
3755,209041225
3756,210021235
3757,209041225
3758,209041224
3759,209031212
3760,209031212
3761,209031212
3762,209041224
3763,209031211
3764,204011056
3765,211051280
3766,211051282
3767,211051282
3770,211051278
3775,209031212
3777,211051276
3778,211051276
3779,204011061
3781,212011289
3782,212011289
3783,212011289
3785,211051282
3786,211051282
3787,211051282
3788,211051282
3789,211051282
3791,211051282
3792,211051282
3793,211051279
3795,211051279
3796,211051283
3797,211051286
3799,211051286
3800,212051320
3802,212021454
3803,212021297
3804,211051274
3805,212021456
3806,212021293
3807,212011287
3808,212011289
3809,212011287
3810,212011292
3812,212011288
3813,212011288
3814,212011288
3815,212011288
3816,205011076
3818,205011076
3820,205011079
3821,205011079
3822,205011079
3823,205011078
3824,205011078
3825,205011077
3831,205011077
3832,205011077
3833,205011077
3835,205011078
3840,205041094
3841,205021082
3842,205041094
3844,205051104
3847,205051102
3850,205051104
3851,205051101
3852,205051100
3853,205051103
3854,205041098
3856,205041098
3857,205051102
3858,205051099
3859,205051101
3860,205051101
3862,205051099
3864,205021082
3865,205021082
3869,205041094
3870,205041094
3871,205011078
3873,205051102
3874,205051104
3875,205021081
3878,205021086
3880,205021083
3882,205021082
3885,205021080
3886,205021085
3887,205021085
3888,205021085
3889,205021085
3890,205021085
3891,205021085
3892,205021085
3893,205021082
3895,205021082
3896,205021082
3898,205021082
3900,205021082
3902,205021082
3903,205021084
3904,205021084
3909,205021084
3910,214011374
3911,214021385
3912,212031308
3913,214021385
3915,214021379
3916,214021378
3918,214021379
3919,214021379
3920,214021379
3921,205031088
3922,205031091
3923,205031091
3925,205031091
3926,214021379
3927,214021379
3928,214021378
3929,214021378
3930,214021381
3931,214021380
3933,214021385
3934,214021382
3936,214021377
3937,214021378
3938,214021384
3939,214021378
3940,214021384
3941,214021383
3942,214021383
3943,214021383
3944,214021383
3945,205031089
3946,205031089
3950,205031089
3951,205031089
3953,205031090
3954,205031090
3956,205031087
3957,205031087
3958,205031087
3959,205031087
3960,205031087
3962,205031087
3964,205031087
3965,205031087
3966,205051104
3967,205051104
3971,205051104
3975,212031306
3976,212031305
3977,212031303
3978,212011290
3979,205031093
3980,212031308
3981,212011290
3984,205031093
3987,205031089
3988,205011079
3990,205031093
3991,205031093
3992,205031093
3995,205031093
3996,205031093
