Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Group Total,207.5,220.0,230.0,234.0,241.25,250.0,262.5,286.25,325.0,350.0,365.0,378.75,388.75,390.0,397.5,405.0,420.0,436.25,452.5,463.75,462.5,442.5,453.75,490.0
Aspendale-Chelsea-Carrum,173.75,185.0,193.33,199.8,202.5,211.25,227.5,247.75,284.75,306.25,327.5,350.0,355.0,357.0,369.25,378.75,392.5,407.5,427.5,439.5,442.5,452.5,477.5,495.0
Bentleigh,206.25,220.0,228.33,238.0,246.25,252.5,267.5,296.25,335.0,362.5,378.75,397.5,400.0,405.0,423.75,430.0,443.75,465.0,487.5,502.5,501.25,490.0,506.5,550.0
Brighton,302.5,315.75,325.0,336.6,350.0,360.0,396.25,435.0,478.25,527.5,550.0,578.75,597.5,627.5,599.75,632.5,592.5,614.5,645.0,651.25,681.5,659.0,668.75,725.0
Brighton East,280.75,303.75,303.33,306.0,335.75,330.0,347.25,414.5,481.25,487.5,531.5,574.5,596.25,582.5,577.5,600.0,634.5,648.25,682.0,700.0,735.75,717.5,750.0,783.0
Carnegie,161.25,172.0,180.0,187.0,195.0,200.0,207.5,240.0,276.25,300.0,316.25,331.25,342.5,350.0,352.75,363.75,381.25,404.25,421.25,435.0,436.25,398.75,400.0,433.0
Caulfield,198.0,212.75,220.0,224.0,238.75,238.25,247.5,282.5,326.25,351.25,367.5,381.25,393.75,388.75,391.75,400.0,415.25,440.0,452.0,472.5,470.0,408.75,422.5,495.0
Cheltenham,195.0,207.5,216.67,227.0,236.25,240.0,256.25,285.0,326.25,350.0,363.75,381.75,390.0,378.75,391.25,402.5,420.0,442.5,451.25,462.5,471.25,462.5,488.75,500.0
Elsternwick,191.25,205.0,215.0,225.8,231.25,230.75,247.5,270.0,310.75,331.25,355.0,371.25,390.0,390.0,396.25,398.75,396.25,415.0,425.0,447.5,448.75,441.0,443.25,470.0
Hampton-Beaumaris,277.5,293.75,295.0,301.0,311.25,322.5,346.25,388.75,425.0,452.5,477.5,489.5,500.0,495.0,511.25,495.0,517.25,537.5,560.0,582.5,590.0,588.75,599.5,630.0
Malvern,222.5,245.75,257.33,262.0,270.75,281.25,287.5,321.25,357.0,378.25,392.0,396.25,410.0,408.75,430.25,447.5,460.0,461.25,482.5,496.25,473.75,450.0,461.25,500.0
Malvern East,221.25,236.25,240.0,249.0,245.25,247.0,253.75,275.0,312.5,346.25,350.0,367.5,370.5,368.75,377.5,386.25,397.5,410.0,428.75,458.75,433.75,404.5,402.5,445.0
Mentone-Parkdale-Mordialloc,167.5,176.25,186.67,192.0,198.75,208.75,222.5,248.75,277.5,301.25,322.5,340.0,350.0,356.25,365.0,373.0,386.25,398.75,418.75,423.75,435.0,431.25,447.5,470.0
Murrumbeena-Hughesdale,171.25,180.0,193.33,204.0,210.0,223.75,240.0,256.25,298.75,312.5,342.0,350.0,357.5,362.5,363.75,385.0,393.75,405.0,421.25,431.25,438.25,400.0,411.25,450.0
Group Total,198.75,213.75,220.0,228.0,237.5,243.75,257.5,285.0,325.0,350.0,366.25,381.25,393.75,395.0,400.0,408.75,423.75,446.25,460.0,477.5,477.5,452.5,467.5,500.0
Altona,168.75,176.25,181.67,189.0,197.5,205.0,218.75,243.25,283.75,302.5,321.25,330.0,330.0,339.25,350.0,356.25,371.25,385.0,397.5,400.0,400.0,400.0,408.75,430.0
Footscray,133.75,143.75,157.67,164.0,173.75,185.0,202.5,217.5,245.0,270.0,297.5,307.5,321.25,323.75,330.0,330.0,346.25,361.25,371.25,382.5,382.5,362.5,375.0,400.0
Keilor East-Avondale Heights,189.5,205.0,218.33,220.0,220.0,228.75,235.0,257.5,292.5,317.5,335.0,347.5,350.0,363.75,370.0,373.75,386.25,397.0,413.75,420.0,415.0,405.0,407.5,440.0
Melton,152.5,158.75,165.0,171.0,176.25,181.25,185.0,193.75,212.75,237.5,252.5,266.25,270.0,270.0,276.25,282.5,296.25,315.0,328.75,340.0,346.25,350.0,355.0,370.0
Newport-Spotswood,175.0,186.25,200.0,203.0,218.75,223.75,250.0,276.25,305.0,347.5,352.5,367.5,389.0,393.75,410.0,434.0,447.5,461.25,473.75,487.5,497.0,491.25,496.25,520.0
St Albans-Deer Park,154.5,160.0,166.67,170.0,171.25,177.5,180.0,193.75,226.5,261.25,278.75,287.5,290.0,293.75,302.5,310.0,320.0,333.75,348.75,353.75,358.75,350.0,357.5,370.0
Sunshine,140.0,148.25,153.33,157.4,163.75,168.75,176.25,191.25,225.0,255.0,275.0,280.0,286.0,291.5,300.0,310.0,317.5,333.75,345.0,355.0,360.0,350.0,360.0,370.0
Sydenham,200.0,207.5,210.0,210.0,217.5,220.0,223.75,243.75,271.25,298.75,317.5,330.0,330.0,340.0,350.0,358.75,366.25,381.25,395.0,400.0,400.0,400.0,411.25,420.0
Werribee-Hoppers Crossing,163.75,169.75,175.0,181.0,185.0,190.0,197.5,212.5,245.0,268.75,277.5,286.25,290.0,290.0,298.75,310.0,325.0,341.25,360.0,370.0,368.75,365.0,376.25,400.0
West Footscray,141.25,148.75,158.33,164.0,170.0,175.0,182.5,207.5,247.5,292.5,300.0,308.75,320.0,320.0,327.5,335.0,355.0,366.25,380.75,395.0,402.5,395.0,402.25,420.0
Williamstown,240.0,257.5,263.33,266.0,270.0,275.0,294.75,320.0,360.0,383.75,384.25,425.0,431.25,450.0,447.5,452.5,477.5,486.25,503.75,515.0,525.0,507.5,525.0,550.0
